Constraint 1,Constraint 2,Constraint 3,Constraint 4,Constraint 5,Constraint 6,Constraint 7,Constraint 8,Constraint 9,Constraint 10,Constraint 11
0,5.20417e-018,-6.93889e-018,-6.93889e-018,0,0,5.20417e-018,-6.93889e-018,-6.93889e-018,0,0
0,5.20417e-018,-6.93889e-018,-6.93889e-018,8.1e-011,0,5.20417e-018,-6.93889e-018,-6.93889e-018,0,8.1e-011
0,5.20417e-018,-6.93889e-018,-5.20417e-018,4.03106e-010,0,0,-6.93889e-018,-6.93889e-018,0,4.03106e-010
0,5.20417e-018,-6.93889e-018,3.29597e-017,1.12314e-009,0,5.20417e-018,-6.93889e-018,-6.93889e-018,0,1.12314e-009
0,5.20417e-018,-6.93889e-018,2.72352e-016,2.3947e-009,1.73472e-018,0,-6.93889e-018,-6.93889e-018,0,2.3947e-009
0,5.20417e-018,-6.93889e-018,1.30278e-015,4.36815e-009,0,0,-6.93889e-018,-6.93889e-018,0,4.36815e-009
0,5.20417e-018,-6.93889e-018,4.63171e-015,7.19069e-009,-3.46945e-018,0,-6.93889e-018,-6.93889e-018,0,7.19069e-009
0,5.20417e-018,-6.93889e-018,1.34615e-014,1.10064e-008,-6.93889e-018,0,-6.93889e-018,-6.93889e-018,0,1.10064e-008
0,5.20417e-018,-6.93889e-018,3.38254e-014,1.59562e-008,-8.67362e-018,0,-6.93889e-018,-6.93889e-018,0,1.59562e-008
0,5.20417e-018,-6.93889e-018,7.61526e-014,2.2178e-008,-8.67362e-018,5.20417e-018,-6.93889e-018,-6.93889e-018,0,2.2178e-008
0,5.20417e-018,-6.93889e-018,1.57258e-013,2.98067e-008,-5.20417e-018,5.20417e-018,-6.93889e-018,-6.93889e-018,0,2.98068e-008
0,5.20417e-018,-6.93889e-018,3.02862e-013,3.89742e-008,-5.20417e-018,5.20417e-018,-6.93889e-018,-6.93889e-018,0,3.89742e-008
0,5.20417e-018,-6.93889e-018,5.50711e-013,4.98092e-008,-3.46945e-018,1.04083e-017,-6.93889e-018,-6.93889e-018,0,4.98092e-008
0,5.20417e-018,-5.20417e-018,9.54209e-013,6.24378e-008,1.73472e-018,1.56125e-017,-6.93889e-018,-6.93889e-018,0,6.24379e-008
0,5.20417e-018,-3.46945e-018,1.58682e-012,7.6983e-008,2.08167e-017,2.08167e-017,-6.93889e-018,-6.93889e-018,0,7.69831e-008
0,5.20417e-018,1.73472e-018,2.54705e-012,9.3565e-008,5.89806e-017,1.56125e-017,-6.93889e-018,-6.93889e-018,0,9.35651e-008
0,5.20417e-018,0,3.96423e-012,1.12301e-007,1.30104e-016,1.56125e-017,-6.93889e-018,-5.20417e-018,0,1.12301e-007
0,5.20417e-018,6.93889e-018,6.00498e-012,1.33306e-007,2.55004e-016,2.08167e-017,-6.93889e-018,-1.38778e-017,0,1.33306e-007
0,5.20417e-018,6.93889e-018,8.88057e-012,1.56691e-007,4.78784e-016,1.56125e-017,-6.93889e-018,-1.04083e-017,0,1.56692e-007
0,5.20417e-018,1.38778e-017,1.2855e-011,1.82566e-007,8.58688e-016,1.04083e-017,-6.93889e-018,-5.20417e-018,0,1.82566e-007
0,5.20417e-018,2.60209e-017,1.82538e-011,2.11037e-007,1.49186e-015,5.20417e-018,-6.93889e-018,-5.20417e-018,0,2.11037e-007
0,5.20417e-018,5.20417e-017,2.54742e-011,2.42207e-007,2.51882e-015,5.20417e-018,-6.93889e-018,1.73472e-018,0,2.42207e-007
0,5.20417e-018,9.36751e-017,3.49954e-011,2.76177e-007,4.14772e-015,0,-6.93889e-018,8.67362e-018,0,2.76177e-007
