Constraint 1,Constraint 2,Constraint 3,Constraint 4,Constraint 5,Constraint 6,Constraint 7,Constraint 8,Constraint 9,Constraint 10,Constraint 11
0,5.20417e-018,-6.93889e-018,-6.93889e-018,1.56125e-017,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,0,0
0,5.20417e-018,-6.93889e-018,-6.93889e-018,1.56125e-017,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,8.1e-011,0
0,0,-6.93889e-018,-6.93889e-018,1.56125e-017,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,4.03106e-010,0
1.73472e-018,0,-6.93889e-018,-6.93889e-018,5.20417e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,1.12314e-009,0
0,5.20417e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,2.39469e-009,0
-3.46945e-018,1.04083e-017,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,4.36812e-009,0
1.73472e-018,1.04083e-017,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,7.19059e-009,0
3.46945e-018,1.04083e-017,-6.93889e-018,-6.93889e-018,-1.73472e-017,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,1.10061e-008,0
1.21431e-017,1.04083e-017,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,1.59555e-008,0
4.68375e-017,5.20417e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,2.21765e-008,0
1.38778e-016,1.04083e-017,-6.93889e-018,-6.93889e-018,-1.73472e-017,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,2.98037e-008,0
3.83374e-016,1.04083e-017,-6.93889e-018,-6.93889e-018,-1.73472e-017,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,3.89683e-008,0
9.7318e-016,5.20417e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,4.97987e-008,0
2.28983e-015,1.04083e-017,-6.93889e-018,-6.93889e-018,-1.73472e-017,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,6.24197e-008,0
5.06713e-015,5.20417e-018,-6.93889e-018,-6.93889e-018,-1.73472e-017,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,7.69531e-008,0
1.0613e-014,0,-6.93889e-018,-6.93889e-018,-1.73472e-017,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,9.35172e-008,0
2.11879e-014,0,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,1.12227e-007,0
4.0563e-014,5.20417e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,1.33194e-007,0
7.48117e-014,1.04083e-017,-6.93889e-018,-6.93889e-018,-1.73472e-017,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,1.56527e-007,0
1.33451e-013,1.56125e-017,-6.93889e-018,-6.93889e-018,-1.73472e-017,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,1.82329e-007,0
2.3103e-013,1.04083e-017,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,2.10701e-007,0
3.89265e-013,1.04083e-017,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,2.41739e-007,0
6.39922e-013,1.04083e-017,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,2.75537e-007,0
1.02861e-012,5.20417e-018,-6.93889e-018,-6.93889e-018,5.20417e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,3.12182e-007,0
1.61966e-012,1.73472e-018,-6.93889e-018,-6.93889e-018,5.20417e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,3.51758e-007,0
2.50241e-012,1.04083e-017,-6.93889e-018,-6.93889e-018,5.20417e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,3.94344e-007,0
3.79912e-012,1.73472e-018,-6.93889e-018,-6.93889e-018,1.56125e-017,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,4.40015e-007,0
5.67478e-012,6.93889e-018,-6.93889e-018,-6.93889e-018,5.20417e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,4.8884e-007,0
8.34932e-012,1.21431e-017,-6.93889e-018,-6.93889e-018,5.20417e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,5.40883e-007,0
1.21124e-011,1.04083e-017,-6.93889e-018,-6.93889e-018,1.56125e-017,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,5.96204e-007,0
1.73412e-011,2.94903e-017,-6.93889e-018,-6.93889e-018,5.20417e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,6.54854e-007,0
2.4522e-011,5.37764e-017,-6.93889e-018,-6.93889e-018,5.20417e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,7.16882e-007,0
3.42751e-011,9.54098e-017,-6.93889e-018,-6.93889e-018,5.20417e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,7.82329e-007,0
4.73848e-011,1.56125e-016,-6.93889e-018,-6.93889e-018,5.20417e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,8.51229e-007,0
6.48338e-011,2.58474e-016,-6.93889e-018,-6.93889e-018,1.56125e-017,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,9.2361e-007,0
8.78426e-011,4.3715e-016,-6.93889e-018,-6.93889e-018,1.56125e-017,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,9.99494e-007,0
1.17915e-010,7.26849e-016,-6.93889e-018,-6.93889e-018,2.77556e-017,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,1.0789e-006,0
1.5689e-010,1.19349e-015,-6.93889e-018,-6.93889e-018,1.56125e-017,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,1.16182e-006,0
2.06999e-010,1.92034e-015,-6.93889e-018,-6.93889e-018,2.77556e-017,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,1.24828e-006,0
2.7093e-010,3.06699e-015,-6.93889e-018,-6.93889e-018,2.77556e-017,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,1.33825e-006,0
3.51899e-010,4.83467e-015,-6.93889e-018,-6.93889e-018,3.81639e-017,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,1.43172e-006,0
4.53727e-010,7.53043e-015,-6.93889e-018,-6.93889e-018,3.81639e-017,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,1.52867e-006,0
5.80928e-010,1.15827e-014,-6.93889e-018,-6.93889e-018,3.81639e-017,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,1.62907e-006,0
7.38796e-010,1.76283e-014,-6.93889e-018,-6.93889e-018,3.81639e-017,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,1.73289e-006,0
9.33507e-010,2.65205e-014,-6.93889e-018,-6.93889e-018,3.81639e-017,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,1.84007e-006,0
1.17222e-009,3.94754e-014,-5.20417e-018,-6.93889e-018,3.81639e-017,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,1.95056e-006,0
1.46319e-009,5.81566e-014,-5.20417e-018,-6.93889e-018,4.85723e-017,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,2.06431e-006,0
1.81587e-009,8.48384e-014,-1.73472e-018,-6.93889e-018,4.85723e-017,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,2.18123e-006,0
2.24105e-009,1.22582e-013,1.73472e-018,-6.93889e-018,4.85723e-017,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,2.30127e-006,0
2.75095e-009,1.75504e-013,-3.46945e-018,-6.93889e-018,4.85723e-017,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,2.42432e-006,0
3.35939e-009,2.4904e-013,-5.20417e-018,-6.93889e-018,4.85723e-017,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,2.5503e-006,0
4.08184e-009,3.50355e-013,-1.73472e-018,-6.93889e-018,6.07153e-017,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,2.67912e-006,0
4.93561e-009,4.88823e-013,0,-6.93889e-018,7.11237e-017,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,2.81066e-006,0
5.93995e-009,6.7656e-013,6.93889e-018,-6.93889e-018,8.32667e-017,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,2.94482e-006,0
7.11612e-009,9.29156e-013,1.38778e-017,-6.93889e-018,8.32667e-017,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,3.08148e-006,0
8.4876e-009,1.2665e-012,3.29597e-017,-6.93889e-018,7.11237e-017,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,3.22052e-006,0
1.00801e-008,1.71378e-012,5.20417e-017,-6.93889e-018,8.32667e-017,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,3.36181e-006,0
1.19217e-008,2.30272e-012,8.1532e-017,-6.93889e-018,7.11237e-017,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,3.50521e-006,0
1.40429e-008,3.07294e-012,1.21431e-016,-6.93889e-018,8.32667e-017,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,3.6506e-006,0
1.64768e-008,4.07367e-012,1.73472e-016,-6.93889e-018,9.36751e-017,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,3.79782e-006,0
1.92591e-008,5.36565e-012,2.498e-016,-6.93889e-018,9.36751e-017,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,3.94673e-006,0
2.2428e-008,7.02337e-012,3.71231e-016,-6.93889e-018,9.36751e-017,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,4.09719e-006,0
2.60247e-008,9.13771e-012,5.30825e-016,-6.93889e-018,9.36751e-017,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,4.24905e-006,0
3.00929e-008,1.18188e-011,7.63278e-016,-6.93889e-018,1.04083e-016,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,4.40214e-006,0
3.46789e-008,1.51996e-011,1.08767e-015,-6.93889e-018,1.16226e-016,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,4.55631e-006,0
3.98322e-008,1.94394e-011,1.55258e-015,-6.93889e-018,1.04083e-016,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,4.71142e-006,0
4.56045e-008,2.47285e-011,2.18575e-015,-6.93889e-018,1.04083e-016,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,4.86729e-006,0
5.20505e-008,3.12927e-011,3.07913e-015,-6.93889e-018,9.36751e-017,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,5.02378e-006,0
5.92275e-008,3.93991e-011,4.28997e-015,-5.20417e-018,9.36751e-017,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,5.18071e-006,0
6.71954e-008,4.93617e-011,5.94663e-015,-1.56125e-017,9.36751e-017,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,5.33794e-006,0
7.60165e-008,6.15485e-011,8.17402e-015,-1.56125e-017,1.04083e-016,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,5.49531e-006,0
8.57555e-008,7.63884e-011,1.11681e-014,-1.38778e-017,9.36751e-017,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,5.65265e-006,0
9.64797e-008,9.43799e-011,1.51493e-014,-2.25514e-017,1.04083e-016,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,5.80981e-006,0
1.08258e-007,1.16099e-010,2.04298e-014,-1.9082e-017,1.04083e-016,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,5.96663e-006,0
1.21163e-007,1.42211e-010,2.73861e-014,-1.56125e-017,1.04083e-016,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,6.12297e-006,0
1.35266e-007,1.73478e-010,3.65073e-014,-2.08167e-017,1.16226e-016,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,6.27866e-006,0
1.50644e-007,2.10772e-010,4.83849e-014,-2.25514e-017,1.16226e-016,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,6.43356e-006,0
1.67372e-007,2.55089e-010,6.37806e-014,-2.08167e-017,1.04083e-016,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,6.58752e-006,0
1.8553e-007,3.07559e-010,8.3638e-014,-1.38778e-017,9.36751e-017,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,6.7404e-006,0
2.05197e-007,3.69463e-010,1.09118e-013,-1.04083e-017,8.32667e-017,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,6.89205e-006,0
