Constraint 1,Constraint 2,Constraint 3,Constraint 4,Constraint 5,Constraint 6,Constraint 7,Constraint 8,Constraint 9,Constraint 10,Constraint 11
0,5.20417e-018,-6.93889e-018,-6.93889e-018,0,0,5.20417e-018,-6.93889e-018,-6.93889e-018,0,0
0,5.20417e-018,-6.93889e-018,-6.93889e-018,8.1e-011,0,5.20417e-018,-6.93889e-018,-6.93889e-018,0,8.1e-011
0,5.20417e-018,-6.93889e-018,-5.20417e-018,4.04029e-010,-3.46945e-018,1.04083e-017,-6.93889e-018,-6.93889e-018,0,4.04029e-010
0,5.20417e-018,-6.93889e-018,3.29597e-017,1.12867e-009,-3.46945e-018,1.56125e-017,-6.93889e-018,-6.93889e-018,0,1.12867e-009
0,5.20417e-018,-6.93889e-018,2.68882e-016,2.41305e-009,-3.46945e-018,1.56125e-017,-6.93889e-018,-6.93889e-018,0,2.41305e-009
0,5.20417e-018,-6.93889e-018,1.30451e-015,4.4139e-009,-6.93889e-018,2.08167e-017,-6.93889e-018,-6.93889e-018,0,4.4139e-009
0,5.20417e-018,-6.93889e-018,4.62477e-015,7.28649e-009,-6.93889e-018,2.08167e-017,-6.93889e-018,-6.93889e-018,0,7.28649e-009
0,5.20417e-018,-6.93889e-018,1.34441e-014,1.11847e-008,-3.46945e-018,1.56125e-017,-6.93889e-018,-6.93889e-018,0,1.11847e-008
0,5.20417e-018,-6.93889e-018,3.38167e-014,1.62611e-008,-3.46945e-018,1.56125e-017,-6.93889e-018,-6.93889e-018,0,1.62611e-008
0,5.20417e-018,-6.93889e-018,7.62237e-014,2.26666e-008,-3.46945e-018,1.56125e-017,-6.93889e-018,-6.93889e-018,0,2.26666e-008
0,5.20417e-018,-6.93889e-018,1.5761e-013,3.05511e-008,0,1.56125e-017,-6.93889e-018,-6.93889e-018,0,3.05511e-008
0,5.20417e-018,-6.93889e-018,3.03967e-013,4.00629e-008,1.73472e-018,1.04083e-017,-6.93889e-018,-6.93889e-018,0,4.00629e-008
0,5.20417e-018,-6.93889e-018,5.53483e-013,5.13489e-008,6.93889e-018,5.20417e-018,-6.93889e-018,-6.93889e-018,0,5.13489e-008
0,5.20417e-018,-5.20417e-018,9.6035e-013,6.45548e-008,1.21431e-017,5.20417e-018,-6.93889e-018,-6.93889e-018,0,6.45548e-008
0,5.20417e-018,-3.46945e-018,1.59927e-012,7.98248e-008,2.94903e-017,5.20417e-018,-6.93889e-018,-6.93889e-018,0,7.98249e-008
0,5.20417e-018,1.73472e-018,2.57067e-012,9.7302e-008,6.76542e-017,0,-6.93889e-018,-6.93889e-018,0,9.73021e-008
0,5.20417e-018,0,4.00668e-012,1.17128e-007,1.37043e-016,0,-6.93889e-018,-5.20417e-018,0,1.17128e-007
0,5.20417e-018,6.93889e-018,6.07796e-012,1.39443e-007,2.58474e-016,0,-6.93889e-018,-3.46945e-018,0,1.39443e-007
0,5.20417e-018,6.93889e-018,9.00138e-012,1.64386e-007,4.80518e-016,0,-6.93889e-018,0,0,1.64386e-007
0,5.20417e-018,1.38778e-017,1.30486e-011,1.92095e-007,8.62158e-016,-6.93889e-018,-6.93889e-018,5.20417e-018,0,1.92095e-007
0,5.20417e-018,3.46945e-017,1.85555e-011,2.22707e-007,1.50054e-015,-6.93889e-018,-6.93889e-018,5.20417e-018,0,2.22707e-007
0,5.20417e-018,5.89806e-017,2.59328e-011,2.56355e-007,2.53964e-015,-1.21431e-017,-6.93889e-018,1.38778e-017,0,2.56356e-007
0,5.20417e-018,9.88792e-017,3.56772e-011,2.93175e-007,4.18762e-015,-1.73472e-017,-6.93889e-018,2.08167e-017,0,2.93176e-007
