Constraint 1,Constraint 2,Constraint 3,Constraint 4,Constraint 5,Constraint 6,Constraint 7,Constraint 8,Constraint 9,Constraint 10,Constraint 11
0,5.20417e-018,-6.93889e-018,-6.93889e-018,1.56125e-017,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,0,0
0,5.20417e-018,-6.93889e-018,-6.93889e-018,1.56125e-017,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,8.1e-011,0
1.73472e-018,5.20417e-018,-6.93889e-018,-6.93889e-018,5.20417e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,4.04029e-010,0
0,1.04083e-017,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,1.12866e-009,0
0,1.04083e-017,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,2.41304e-009,0
1.73472e-018,5.20417e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,4.41387e-009,0
1.73472e-018,1.04083e-017,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,7.2864e-009,0
3.46945e-018,5.20417e-018,-6.93889e-018,-6.93889e-018,5.20417e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,1.11844e-008,0
1.04083e-017,5.20417e-018,-6.93889e-018,-6.93889e-018,5.20417e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,1.62604e-008,0
4.16334e-017,5.20417e-018,-6.93889e-018,-6.93889e-018,5.20417e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,2.26651e-008,0
1.37043e-016,0,-6.93889e-018,-6.93889e-018,5.20417e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,3.0548e-008,0
3.83374e-016,-6.93889e-018,-6.93889e-018,-6.93889e-018,5.20417e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,4.0057e-008,0
9.71445e-016,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,5.13382e-008,0
2.28983e-015,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,6.45364e-008,0
5.0758e-015,-6.93889e-018,-6.93889e-018,-6.93889e-018,-1.73472e-017,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,7.97945e-008,0
1.06391e-014,-6.93889e-018,-6.93889e-018,-6.93889e-018,-2.77556e-017,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,9.72535e-008,0
2.12608e-014,-1.21431e-017,-6.93889e-018,-6.93889e-018,-2.77556e-017,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,1.17053e-007,0
4.07365e-014,-6.93889e-018,-6.93889e-018,-6.93889e-018,-3.98986e-017,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,1.39329e-007,0
7.51985e-014,0,-6.93889e-018,-6.93889e-018,-5.0307e-017,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,1.64219e-007,0
1.34264e-013,0,-6.93889e-018,-6.93889e-018,-3.98986e-017,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,1.91853e-007,0
2.32656e-013,-6.93889e-018,-6.93889e-018,-6.93889e-018,-3.98986e-017,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,2.22364e-007,0
3.92379e-013,-6.93889e-018,-6.93889e-018,-6.93889e-018,-3.98986e-017,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,2.55877e-007,0
6.45664e-013,-6.93889e-018,-6.93889e-018,-6.93889e-018,-2.77556e-017,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,2.9252e-007,0
1.03884e-012,-6.93889e-018,-6.93889e-018,-6.93889e-018,-2.77556e-017,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,3.32413e-007,0
1.63738e-012,-5.20417e-018,-6.93889e-018,-6.93889e-018,-3.98986e-017,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,3.75676e-007,0
2.53227e-012,-8.67362e-018,-6.93889e-018,-6.93889e-018,-3.98986e-017,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,4.22423e-007,0
3.84826e-012,-3.46945e-018,-6.93889e-018,-6.93889e-018,-5.0307e-017,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,4.72767e-007,0
5.7539e-012,1.73472e-018,-6.93889e-018,-6.93889e-018,-5.0307e-017,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,5.26816e-007,0
8.47421e-012,0,-6.93889e-018,-6.93889e-018,-3.98986e-017,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,5.84673e-007,0
1.23059e-011,5.20417e-018,-6.93889e-018,-6.93889e-018,-3.98986e-017,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,6.46438e-007,0
1.76362e-011,1.73472e-017,-6.93889e-018,-6.93889e-018,-3.98986e-017,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,7.12204e-007,0
2.49646e-011,3.46945e-017,-6.93889e-018,-6.93889e-018,-3.98986e-017,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,7.82062e-007,0
3.49297e-011,7.45931e-017,-6.93889e-018,-6.93889e-018,-5.0307e-017,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,8.56097e-007,0
4.83399e-011,1.42247e-016,-6.93889e-018,-6.93889e-018,-5.0307e-017,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,9.34385e-007,0
6.62098e-011,2.498e-016,-6.93889e-018,-6.93889e-018,-5.0307e-017,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,1.017e-006,0
8.98016e-011,4.31946e-016,-6.93889e-018,-6.93889e-018,-5.0307e-017,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,1.10401e-006,0
1.20673e-010,7.18176e-016,-6.93889e-018,-6.93889e-018,-3.98986e-017,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,1.19548e-006,0
1.60732e-010,1.18482e-015,-6.93889e-018,-6.93889e-018,-3.98986e-017,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,1.29145e-006,0
2.12298e-010,1.92381e-015,-6.93889e-018,-6.93889e-018,-5.0307e-017,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,1.39197e-006,0
2.7817e-010,3.07566e-015,-6.93889e-018,-6.93889e-018,-3.98986e-017,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,1.4971e-006,0
3.61702e-010,4.84855e-015,-6.93889e-018,-6.93889e-018,-2.77556e-017,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,1.60684e-006,0
4.66889e-010,7.57033e-015,-6.93889e-018,-6.93889e-018,-3.98986e-017,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,1.72124e-006,0
5.98456e-010,1.16591e-014,-6.93889e-018,-6.93889e-018,-3.98986e-017,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,1.84031e-006,0
7.61958e-010,1.7748e-014,-6.93889e-018,-6.93889e-018,-3.98986e-017,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,1.96405e-006,0
9.63888e-010,2.67217e-014,-6.93889e-018,-6.93889e-018,-3.98986e-017,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,2.09247e-006,0
1.21179e-009,3.98032e-014,-5.20417e-018,-6.93889e-018,-3.98986e-017,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,2.22557e-006,0
1.51437e-009,5.86788e-014,-5.20417e-018,-6.93889e-018,-3.98986e-017,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,2.36332e-006,0
1.88165e-009,8.56624e-014,-1.21431e-017,-6.93889e-018,-3.98986e-017,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,2.5057e-006,0
2.32505e-009,1.23861e-013,-1.04083e-017,-6.93889e-018,-5.0307e-017,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,2.65269e-006,0
2.8576e-009,1.77454e-013,-3.46945e-018,-6.93889e-018,-5.0307e-017,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,2.80424e-006,0
3.49399e-009,2.51989e-013,5.20417e-018,-6.93889e-018,-5.0307e-017,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,2.96031e-006,0
4.25077e-009,3.54787e-013,8.67362e-018,-6.93889e-018,-5.0307e-017,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,3.12085e-006,0
5.14649e-009,4.95399e-013,1.04083e-017,-6.93889e-018,-3.98986e-017,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,3.28579e-006,0
6.20181e-009,6.86225e-013,1.56125e-017,-6.93889e-018,-5.0307e-017,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,3.45505e-006,0
7.43967e-009,9.43202e-013,2.25514e-017,-6.93889e-018,-3.98986e-017,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,3.62858e-006,0
8.88542e-009,1.28672e-012,3.98986e-017,-6.93889e-018,-5.0307e-017,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,3.80628e-006,0
1.05669e-008,1.74262e-012,5.37764e-017,-6.93889e-018,-3.98986e-017,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,3.98807e-006,0
1.25147e-008,2.34348e-012,8.1532e-017,-6.93889e-018,-3.98986e-017,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,4.17384e-006,0
1.47621e-008,3.13006e-012,1.249e-016,-6.93889e-018,-3.98986e-017,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,4.36351e-006,0
1.73454e-008,4.15305e-012,1.76942e-016,-6.93889e-018,-2.77556e-017,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,4.55696e-006,0
2.03036e-008,5.47511e-012,2.60209e-016,-6.93889e-018,-2.77556e-017,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,4.75407e-006,0
2.36792e-008,7.17316e-012,3.79904e-016,-6.93889e-018,-2.77556e-017,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,4.95474e-006,0
2.75174e-008,9.3412e-012,5.39499e-016,-6.93889e-018,-2.77556e-017,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,5.15885e-006,0
3.18669e-008,1.20933e-011,7.78891e-016,-6.93889e-018,-2.77556e-017,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,5.36626e-006,0
3.67796e-008,1.55673e-011,1.12237e-015,-6.93889e-018,-3.98986e-017,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,5.57685e-006,0
4.23107e-008,1.99288e-011,1.5786e-015,-6.93889e-018,-2.77556e-017,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,5.7905e-006,0
4.85186e-008,2.53757e-011,2.22738e-015,-6.93889e-018,-2.77556e-017,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,6.00706e-006,0
5.54652e-008,3.21433e-011,3.1173e-015,-6.93889e-018,-1.73472e-017,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,6.22639e-006,0
6.32155e-008,4.05103e-011,4.33334e-015,-5.20417e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,6.44837e-006,0
7.1838e-008,5.08049e-011,6.00214e-015,-5.20417e-018,-1.73472e-017,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,6.67285e-006,0
8.14042e-008,6.34125e-011,8.25902e-015,-1.56125e-017,-1.73472e-017,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,6.89969e-006,0
9.1989e-008,7.87829e-011,1.12861e-014,-1.38778e-017,-2.77556e-017,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,7.12875e-006,0
1.0367e-007,9.74397e-011,1.53141e-014,-1.21431e-017,-2.77556e-017,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,7.35988e-006,0
1.16529e-007,1.19989e-010,2.06675e-014,-8.67362e-018,-3.98986e-017,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,7.59294e-006,0
1.30649e-007,1.47132e-010,2.77261e-014,-5.20417e-018,-3.98986e-017,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,7.82779e-006,0
1.46117e-007,1.79673e-010,3.6986e-014,1.73472e-018,-5.0307e-017,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,8.06428e-006,0
1.63023e-007,2.18536e-010,4.9058e-014,0,-3.98986e-017,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,8.30228e-006,0
1.81459e-007,2.64774e-010,6.47225e-014,0,-3.98986e-017,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,8.54163e-006,0
2.01519e-007,3.19589e-010,8.49477e-014,6.93889e-018,-3.98986e-017,-6.93889e-018,-6.93889e-018,-6.93889e-018,-6.93889e-018,8.7822e-006,0
